incident_id,timestamp,tool_id,product_id,line_id,input_units,good_units,scrap_units,rework_units,planned_minutes,downtime_minutes,unit_cost_proxy,unit_price_proxy,downtime_cost_per_min,event_type,event_note
INC-2024-001,18/03/2024 01:00,BONDER-K5-07,FC-BGA-HPC-512,LINE-K5-A,5200,4810,180,210,480,742,4.2,8.75,141.67,downtime,Thermal drift on eutectic bonder — stage heater PID oscillation. Thermocouple replaced at 03:30 but drift continued. Vendor escalation at 06:00. Full recalibration required before resume.
INC-2024-002,18/03/2024 06:00,FLIPCHIP-K5-02,FC-BGA-HPC-512,LINE-K5-A,2400,2180,95,125,240,215,4.2,8.75,141.67,downtime,Flip chip placer alignment offset X/Y delta exceeding 8µm spec. Vision system recal performed at shift start but offset persisted. Switched to backup substrate lot.
INC-2024-003,18/03/2024 08:00,MOLD-K5-03,FC-BGA-HPC-512,LINE-K5-B,3800,3310,290,200,360,315,4.2,8.75,141.67,yield_loss,Substrate warpage bow 180µm exceeding 150µm spec. Third consecutive lot affected. Mold compound lot MC-2024-0887 suspected. Downstream lots held pending investigation.
INC-2024-004,18/03/2024 09:00,TEST-K5-11,FC-BGA-HPC-512,LINE-K5-B,980,940,22,18,120,0,4.2,8.75,141.67,quality,Probe card contact failure channels 34 through 41 open circuit. Card replaced. Bent probe pins on P-7734 confirmed. Root cause of pin damage under investigation.
INC-2024-005,18/03/2024 10:00,REFLOW-K5-05,FCCSP-MOB-256,LINE-K5-C,5600,4920,380,300,480,750,3.1,6.4,141.67,downtime,Reflow oven zone 4 heating element degraded — temperature deviation plus minus 8°C. Emergency replacement sourced from K6 spare inventory. 12.5hr downtime impact on mobile AP line.
INC-2024-006,18/03/2024 11:00,FLIPCHIP-K6-04,FC-BGA-NET-256,LINE-K6-A,3400,3050,190,160,360,390,3.85,7.9,141.67,downtime,Vacuum loss on die attach head — pick rate dropped to 60% of nominal. Vacuum generator internal seal failure on 7yr old unit. Production resumed at 85% throughput pending full replacement.
INC-2024-007,18/03/2024 14:00,UNDERFILL-K6-02,COWOS-AI-HBM,LINE-K6-B,1960,1720,130,110,240,210,12.5,24.8,141.67,quality,Underfill void detected via X-ray — 4 voids exceeding 100µm in die corner region. Dispense pattern adjusted. Surface contamination suspected. Plasma clean extension under review. 18 units scrapped.
INC-2024-008,18/03/2024 17:00,MOLD-K6-01,FCCSP-MOB-256,LINE-K6-A,2900,2530,220,150,300,195,3.1,6.4,141.67,yield_loss,Substrate warpage bow 172µm — confirmed same mold compound lot MC-2024-0887 as K5 incidents. Lot quarantined globally. Systemic issue confirmed — procurement notified.
INC-2024-009,18/03/2024 20:00,BONDER-J1-12,SIP-IOT-128,LINE-J1-A,6800,6420,210,170,480,225,2.15,4.5,141.67,quality,Wire bonder alignment drift — loop height variance 15% above UCL. Capillary replaced. Realignment extended due to new substrate design. Process engineering notified.
INC-2024-010,18/03/2024 22:00,PLASMA-J1-04,FC-BGA-AUTO-512,LINE-J1-B,4400,4020,220,160,360,645,5.1,10.2,141.67,downtime,Thermal drift in plasma chamber — chuck temperature cycling plus minus 6°C. Identical fault to K5 INC-001. Chuck cooling failure. Parts ordered from same vendor. 10.75hr downtime confirmed.
INC-2024-011,19/03/2024 02:00,REFLOW-J1-03,POP-MOB-128,LINE-J1-A,3600,3240,195,165,360,165,2.8,5.85,141.67,quality,Bump height out of spec — 12% of measured bumps below 180µm minimum. Solder paste lot changed 2 days prior. Stencil aperture normal. Paste rheology testing initiated. 340 units in quarantine.
INC-2024-012,19/03/2024 06:00,INSPECT-J1-07,WLP-WEAR-64,LINE-J1-C,3100,2520,385,195,360,135,1.9,3.95,141.67,yield_loss,Visual inspection pass rate 81.3% vs 94% target. Upstream wafer saw street width deviation confirmed. Blade wear root cause. All WLP lots from this blade set quarantined. Blade replaced.
INC-2024-013,19/03/2024 07:00,FLIPCHIP-P1-06,FCCSP-MOB-256,LINE-P1-A,2100,1890,115,95,240,210,3.1,6.4,141.67,downtime,Flip chip alignment offset — third occurrence this week on same tool. PM overdue by 45 days. Temporary fix applied. Formal PM scheduled for weekend. Tool flagged for priority maintenance.
INC-2024-014,19/03/2024 08:00,MOLD-P1-02,SIP-IOT-128,LINE-P1-B,3600,3120,280,200,360,210,2.15,4.5,141.67,yield_loss,Warpage excursion — mold compound lot MC-2024-0887 confirmed at P1. Third factory affected. 8 pallets in P1 inventory quarantined. Procurement escalation actively in progress.
INC-2024-015,19/03/2024 10:00,WAFERSAW-P1-01,WLP-WEAR-64,LINE-P1-C,3000,2680,185,135,360,380,1.9,3.95,141.67,downtime,Chuck temperature sensor failure on wafer saw. Emergency replacement at 01:00. Dicing resumed at 60% feed rate. Full throughput recovery at 04:00. 14 wafers affected by positional error.
INC-2024-016,19/03/2024 12:00,TEST-P1-08,FC-BGA-HPC-512,LINE-P1-A,4500,4180,195,125,480,165,4.2,8.75,141.67,quality,Probe card contact failure — 16 channels degraded. Card P-7891 replaced. Second probe failure in 2 weeks on this handler. Socket inspection scheduled. 420 units retested successfully.
INC-2024-017,19/03/2024 14:00,BONDER-V1-03,FC-BGA-NET-256,LINE-V1-A,4100,3590,295,215,480,750,3.85,7.9,141.67,downtime,Vacuum loss on die attach — intermittent pressure drops causing misplacements. Vacuum line cracked at elbow fitting. 12.5hr downtime. 380 units in quarantine for placement verification.
INC-2024-018,19/03/2024 16:00,FLUX-V1-02,FC-BGA-HPC-512,LINE-V1-B,1700,1580,68,52,180,165,4.2,8.75,141.67,quality,Flux nozzle clog — dispense volume CV exceeding 15% triggering auto-stop. Nozzle replaced. Dried flux in tip from prior shift. Cleaning procedure updated to include shift-end purge.
INC-2024-019,19/03/2024 20:00,REFLOW-V1-04,FCCSP-MOB-256,LINE-V1-A,2400,2140,155,105,240,345,3.1,6.4,141.67,downtime,Reflow oven zone 3 undershoot 12°C below target. Same EQ-THERM-01 fault as K5 and J1. Heating element replaced. Pattern confirmed across 4 factories — fleet-wide investigation initiated.
INC-2024-020,19/03/2024 22:00,UNDERFILL-V1-01,COWOS-AI-HBM,LINE-V1-B,1500,1310,105,85,180,210,12.5,24.8,141.67,quality,Underfill void — corner void pattern matches K6 INC-007. Same underfill material lot UI-2024-1102 confirmed. Lot under investigation. Cross-site process engineering call initiated.
INC-2024-021,20/03/2024 00:00,WAFERSAW-T1-02,EWLB-RF-32,LINE-T1-A,1950,1710,145,95,240,225,3.3,6.85,141.67,downtime,Chuck temperature deviation — eWLB dicing street damage detected. 22 wafers with street damage. Coolant flow restriction in chuck manifold confirmed. Manifold flushed. Production resumed.
INC-2024-022,20/03/2024 04:00,FLIPCHIP-T1-05,COWOS-AI-HBM,LINE-T1-B,1000,820,95,85,120,270,12.5,24.8,141.67,downtime,2.5D interposer placement offset 11µm X 4µm Y — exceeds 5µm spec. Vision system fiducial recognition rate 78% on new substrate design. Pattern recognition model retrain required.
INC-2024-023,20/03/2024 08:00,INSPECT-T1-03,EWLB-RF-32,LINE-T1-A,3700,3280,260,160,360,200,3.3,6.85,141.67,yield_loss,eWLB fan-out redistribution layer delamination — 34 units affected. Adhesion promoter application step under review. Material traceability initiated on prior wafer surface prep lot.
INC-2024-024,20/03/2024 10:00,MOLD-PH1-04,POP-MOB-128,LINE-PH1-A,3000,2640,220,140,300,210,2.8,5.85,141.67,yield_loss,Substrate warpage — mold compound lot MC-2024-0887 fourth factory confirmation. 12 pallets at PH1 quarantined. Full global quarantine now in effect. Emergency procurement of alternate compound initiated.
INC-2024-025,20/03/2024 12:00,BONDER-PH1-06,SIP-IOT-128,LINE-PH1-B,1200,1090,65,45,120,150,2.15,4.5,141.67,quality,Wire bonder thermal drift — bond force CV increased to 8% from 2% baseline. Thermal model recalibration required. Temporary process window widening approved. Fifth EQ-THERM-01 event globally in 72hrs.
INC-2024-026,20/03/2024 14:00,PLASMA-PH1-02,FC-BGA-AUTO-512,LINE-PH1-A,1800,1650,82,68,180,195,5.1,10.2,141.67,downtime,Vacuum loss in plasma chamber — process pressure unstable. Chamber pump bearing failure. Pump replaced from spare inventory. 3.25hr downtime. Preceding lots verified via contact angle measurement.
INC-2024-027,20/03/2024 16:00,TEST-PH1-09,POP-MOB-128,LINE-PH1-A,3400,2650,445,305,360,150,2.8,5.85,141.67,yield_loss,PoP electrical test pass rate 78% vs 92% target. Warpage from mold compound issue causing socket contact failures during test. Downstream yield impact of global MC-2024-0887 incident confirmed.
INC-2024-028,20/03/2024 18:00,FLIPCHIP-PT1-03,FC-BGA-AUTO-512,LINE-PT1-A,2500,2270,130,100,240,240,5.1,10.2,141.67,downtime,Alignment offset on flip chip placer — recurring X-axis drift. Fourth alignment event on PT1-03 in 30 days. Linear encoder wear pattern confirmed. Encoder replacement scheduled. Temporary manual offset correction applied.
INC-2024-029,20/03/2024 20:00,REFLOW-PT1-02,FC-BGA-AUTO-512,LINE-PT1-B,5500,4780,415,305,480,810,5.1,10.2,141.67,downtime,Multi-zone reflow oven profile deviation — zones 2 and 5 simultaneously drifted. Common PSU suspected and confirmed. PSU replaced but full requalification required. 13.5hr downtime. Sixth EQ-THERM-01 globally.
INC-2024-030,20/03/2024 22:00,UNDERFILL-PT1-01,FC-BGA-AUTO-512,LINE-PT1-A,2100,1880,125,95,240,150,5.1,10.2,141.67,quality,Underfill void — corner void pattern consistent with K6 and V1 events. Underfill material lot UI-2024-1102 now confirmed across 3 factories. Full lot quarantine issued. Supplier quality notification filed.
INC-2024-031,21/03/2024 00:00,FLIPCHIP-AZ1-01,COWOS-AI-HBM,LINE-AZ1-A,520,490,18,12,60,165,12.5,24.8,141.67,downtime,Vacuum fitting on pick head found loose — new 2.5D assembly cell installation issue. Retorqued and leak-tested. Preventive inspection of all fittings performed. First production incident on this tool.
INC-2024-032,21/03/2024 02:00,INSPECT-AZ1-02,COWOS-AI-HBM,LINE-AZ1-A,680,590,55,35,90,210,12.5,24.8,141.67,yield_loss,Inspection algorithm false positive rate elevated for new 2.5D substrate design. True yield estimated at 91% after recipe correction. Algorithm retrain in progress. Recipe qualification ongoing.
INC-2024-033,21/03/2024 04:00,WAFERSAW-AZ1-01,WLP-WEAR-64,LINE-AZ1-B,370,325,28,17,60,195,1.9,3.95,141.67,downtime,Chuck temperature deviation on wafer saw during first WLP production lot. Development process parameters not fully optimized for production tool. Parameter study underway. 3.25hr downtime.
INC-2024-034,21/03/2024 08:00,BONDER-AZ1-03,FC-BGA-HPC-512,LINE-AZ1-A,1300,1190,65,45,120,225,4.2,8.75,141.67,downtime,Alignment drift on new flip chip tool — floor isolation mount settling in new building section. Shim adjustment performed. Structural review of new wing initiated. Known issue with recent construction.
INC-2024-035,21/03/2024 10:00,WAFERSAW-K5-04,FC-BGA-HPC-512,LINE-K5-C,7300,6480,490,330,480,630,4.2,8.75,141.67,downtime,Wafer chuck control board failure. Board replaced at 01:00. 6 wafers with positional error quarantined. OEE impact on K5 for 72hr window now critical — three major downtime events on this line.
INC-2024-036,21/03/2024 12:00,FLUX-K6-03,FCCSP-MOB-256,LINE-K6-B,1950,1790,88,72,180,150,3.1,6.4,141.67,quality,Flux nozzle partial clog — dispense weight variation 12%. New flux formulation has higher viscosity than previous lot. Second nozzle event at K6 in 5 days. Nozzle size review required.
INC-2024-037,21/03/2024 14:00,UNDERFILL-J1-02,SIP-IOT-128,LINE-J1-B,2300,2050,145,105,240,195,2.15,4.5,141.67,quality,Underfill void — lot UI-2024-1102 confirmed at J1. Fourth factory affected by this material lot. K6 V1 PT1 J1 all confirmed. Supplier placed on corrective action. Full lot recall across all sites issued.
INC-2024-038,21/03/2024 16:00,REFLOW-P1-05,FCCSP-MOB-256,LINE-P1-C,4200,3620,335,245,360,390,3.1,6.4,141.67,downtime,Seventh EQ-THERM-01 occurrence across global fleet in 72hrs. P1 reflow zone heating element failure. Fleet-wide thermal drift pattern confirmed. OEM engineering team engaged for global fleet inspection.
INC-2024-039,21/03/2024 18:00,MOLD-T1-03,POP-MOB-128,LINE-T1-A,4400,3810,370,220,420,255,2.8,5.85,141.67,yield_loss,T1 consumed remaining inventory of quarantined compound MC-2024-0887 before stop notice arrived. 5 lots affected. 68% warpage out-of-spec rate on affected units. Enhanced bow measurement on all units initiated.
INC-2024-040,21/03/2024 20:00,WAFERSAW-PH1-02,EWLB-RF-32,LINE-PH1-C,1650,1490,95,65,180,150,3.3,6.85,141.67,downtime,Coolant nozzle partially blocked on eWLB wafer saw — blade temperature rise. 3 wafers with thermal damage to dicing streets. Coolant filtration cartridge overdue for replacement. Nozzle cleaned and flow verified.
INC-2024-041,22/03/2024 00:00,BONDER-K5-07,FC-BGA-HPC-512,LINE-K5-A,4900,4690,125,85,480,0,4.2,8.75,141.67,nominal,Post-recalibration production run — thermal drift resolved. Stage heater performing within spec. Yield recovery to 95.7%. Baseline reestablished after INC-001 event window.
INC-2024-042,22/03/2024 02:00,MOLD-K5-03,FC-BGA-HPC-512,LINE-K5-B,4100,3890,120,90,360,0,4.2,8.75,141.67,nominal,Production resumed with alternate mold compound lot MC-2024-0901. Warpage bow measuring 98µm — well within 150µm spec. Yield recovery confirmed. MC-2024-0887 quarantine holding across all sites.
INC-2024-043,22/03/2024 06:00,UNDERFILL-K6-02,COWOS-AI-HBM,LINE-K6-B,2100,2010,52,38,240,0,12.5,24.8,141.67,nominal,Underfill process resumed with replacement material lot UI-2024-1205. Corner void rate below 0.2% on first qualification lot. Material lot UI-2024-1102 fully recalled across all sites.
INC-2024-044,22/03/2024 08:00,REFLOW-J1-03,POP-MOB-128,LINE-J1-A,3800,3640,95,65,360,0,2.8,5.85,141.67,nominal,Reflow profile re-qualified after solder paste lot change. Bump height CPK at 1.42 — within spec. Paste rheology confirmed within new lot parameters. 340 quarantine units disposition complete.
INC-2024-045,22/03/2024 10:00,FLIPCHIP-P1-06,FCCSP-MOB-256,LINE-P1-A,2200,2090,65,45,240,0,3.1,6.4,141.67,nominal,Post-PM production run on FLIPCHIP-P1-06. Alignment offset resolved. X/Y delta within 3µm spec. PM overdue flag cleared. Recommending monthly PM schedule to prevent recurrence pattern observed over prior 30 days.
INC-2024-046,22/03/2024 12:00,REFLOW-PT1-02,FC-BGA-AUTO-512,LINE-PT1-B,5200,4990,120,90,480,0,5.1,10.2,141.67,nominal,Post-PSU replacement requalification complete. All zones within plus minus 1.5°C of profile target. Production resumed. Automotive customer lots back on schedule. 13.5hr downtime impact being assessed for on-time delivery impact.
INC-2024-047,22/03/2024 14:00,FLIPCHIP-AZ1-01,COWOS-AI-HBM,LINE-AZ1-A,600,578,14,8,60,0,12.5,24.8,141.67,nominal,Full production run post-fitting inspection. 2.5D placement offset within 2.8µm X 1.9µm Y. New substrate recipe performing within spec. AZ1 ramp trajectory on track for Q2 volume targets.
INC-2024-048,22/03/2024 16:00,TEST-K5-11,FC-BGA-HPC-512,LINE-K5-B,5100,4920,105,75,480,0,4.2,8.75,141.67,nominal,Post probe card replacement — full test run nominal. All channels verified. Handler socket inspection completed and cleared. Throughput recovery to 96.5% of planned rate.
INC-2024-049,22/03/2024 18:00,INSPECT-J1-07,WLP-WEAR-64,LINE-J1-C,3400,3250,95,55,360,0,1.9,3.95,141.67,nominal,Post blade replacement — visual inspection pass rate recovered to 93.8%. New blade set qualified and running. Wafer saw street width within spec across all monitored lots. Quarantine lot disposition complete.
INC-2024-050,22/03/2024 20:00,REFLOW-V1-04,FCCSP-MOB-256,LINE-V1-A,2600,2490,68,42,240,0,3.1,6.4,141.67,nominal,Post heating element replacement — reflow zone 3 temperature holding within plus minus 0.8°C of profile. Production resumed. EQ-THERM-01 fleet-wide inspection ongoing across all affected sites. V1 line cleared.
